OrderID,OrderDate,CustomerID,CustomerName,ProductID,Quantity,UnitPrice,Discount,Region,SalesRep
1001,2024-01-03,C001,Apex Solutions,P001,3,1200.00,0.05,North,Maria Johnson
1002,2024-01-05,C002,Bright Path LLC,P003,10,45.00,0.00,South,James Smith
1003,2024-01-08,C003,Crestwood Inc,P002,2,850.00,0.10,East,Carlos Rivera
1004,2024-01-10,C001,Apex Solutions,P004,5,120.00,0.05,North,Maria Johnson
1005,2024-01-14,C004,Delta Corp,P005,8,60.00,0.00,West,Sarah Lee
1006,2024-01-17,C002,Bright Path LLC,P001,1,1200.00,0.00,South,James Smith
1007,2024-01-21,C005,Evergreen Co,P003,15,45.00,0.10,North,Maria Johnson
1008,2024-01-24,C003,Crestwood Inc,P006,4,200.00,0.05,East,Carlos Rivera
1009,2024-01-28,C006,Focal Point Ltd,P002,3,850.00,0.00,South,James Smith
1010,2024-01-31,C004,Delta Corp,P004,6,120.00,0.10,West,Sarah Lee
1011,2024-02-04,C001,Apex Solutions,P005,12,60.00,0.05,North,Maria Johnson
1012,2024-02-07,C007,Granite Works,P001,2,1200.00,0.00,East,Carlos Rivera
1013,2024-02-11,C002,Bright Path LLC,P006,7,200.00,0.10,South,James Smith
1014,2024-02-14,C005,Evergreen Co,P003,20,45.00,0.00,North,Maria Johnson
1015,2024-02-18,C003,Crestwood Inc,P004,4,120.00,0.05,East,Carlos Rivera
1016,2024-02-21,C006,Focal Point Ltd,P005,9,60.00,0.00,South,James Smith
1017,2024-02-25,C007,Granite Works,P002,1,850.00,0.10,East,Carlos Rivera
1018,2024-02-28,C004,Delta Corp,P001,3,1200.00,0.00,West,Sarah Lee
1019,2024-03-04,C001,Apex Solutions,P006,5,200.00,0.05,North,Maria Johnson
1020,2024-03-07,C008,Harbor Group,P003,12,45.00,0.10,South,James Smith
1021,2024-03-11,C002,Bright Path LLC,P004,8,120.00,0.00,South,James Smith
1022,2024-03-14,C005,Evergreen Co,P002,2,850.00,0.05,North,Maria Johnson
1023,2024-03-18,C006,Focal Point Ltd,P005,14,60.00,0.10,South,James Smith
1024,2024-03-21,C003,Crestwood Inc,P001,1,1200.00,0.00,East,Carlos Rivera
1025,2024-03-25,C007,Granite Works,P006,6,200.00,0.05,East,Carlos Rivera
1026,2024-03-28,C004,Delta Corp,P003,18,45.00,0.00,West,Sarah Lee
1027,2024-04-01,C008,Harbor Group,P004,5,120.00,0.10,South,James Smith
1028,2024-04-04,C001,Apex Solutions,P002,3,850.00,0.00,North,Maria Johnson
1029,2024-04-08,C009,Ironbridge Co,P005,10,60.00,0.05,East,Carlos Rivera
1030,2024-04-11,C002,Bright Path LLC,P001,2,1200.00,0.10,South,James Smith
